id,title,about,primary_applications,network,company,locations,location_id,image_name,componentry,domain,sub_domain,sub_sub_domain,price,consumer_release
1,3L Labs Footlogger,"The 3L Labs Footlogger is a wearable fitness tracking device that aims at spotting health problems early, as well as logging daily activity. Placed in the user's shoe, 8 sensors coupled to 1 accelerometer help identify and record exercise habits. The data is then disclosed to the user via text or smartphone app. This computing device's technology can be used for athletes training, regular everyday workouts and rehabilitation.","Fitness,Medical","http://footlogger.com/,https://www.facebook.com/lm3labs?fref=ts",3L Labs,Feet,107,3LLabsFootlogger.png,Pressure Sensor,"Fitness,Medical",,,No Announcement Yet,Undisclosed
2,4D Force,"          The 4D Force is a wearable technology that detects brain waves and converts them into electric signals. 4D Force developed a platform that can capture and compute high quality EEG/ EOG/EMG signals. With the device, users can control games by using the power of their thoughts. 4D Force can also be used for medical purposes as it has the ability to interpret electrical signals generated by the body, and create recommendations for changes in lifestyle.","Gaming,Entertainment",http://4dforce.com/products/,4D Force,Head,1,4DForce.png,EEG Sensor,Lifestyle,Entertainment,Gaming,No Announcement Yet,Undisclosed
3,4iiii Viiiiva,          The 4iiii Viiiiva is a wearable heart-rate monitor technology that syncs with Bluetooth enabled SmartPhones and ANT+ enabled devices. This technology can be used to create a real-time analytic and computing system for fitness. The device is geared towards cycling enthusiasts and professionals looking to monitor their performance on the road.,Fitness,"http://4iiii.com/product-viiiiva/,https://twitter.com/4iiiicom,https://www.facebook.com/4iiiicom,http://www.youtube.com/4iiiicom,https://plus.google.com/+4iiii/posts",4iiii,Chest,175,4iiiiViiiiva.jpg,Heart Rate Monitor,Fitness,,,$80.00 USD,Available Now
4,9Solutions IPCS Products,"          9Solutions is a wearable Integrated Positioning and Communication System (IPCS) technology.  Its primary function is as an indoor positioning computing system, which can track and monitor locations of the wearer based on an array of wireless technology (Bluetooth, RFID, Infrared, Ultra Wideband, Ultrasound, Wi-Fi, Zigbee).  The device communicates with a number of pre-deployed sensor nodes that track the location of the wearer.","Medical,Industrial","http://www.9solutions.com/en/,http://www.youtube.com/user/IPCSby9Solutions,https://plus.google.com/101141196738347270850/posts,https://twitter.com/9Solutions,https://www.facebook.com/9Solutions",9Solutions,Body (Anywhere),92,connectedevice-cogito.jpg,"Accelerometer,Button Interface,Buzzer",Medical,Industrial,,"%u20AC3,350.00 EUR",No Announcement Yet
5,Adidas Smart Run,          The Adidas Smart Run is a wearable wrist device which monitors the wearer's heart rate and location data. The technology then computes and aggregates the information collected into the Adidas miCoach system to improve the wearer's training and performance.,Fitness,"http://micoach.adidas.com/ca/smartrun,https://www.facebook.com/adidasmicoach,https://twitter.com/adidas_miCoach,http://www.youtube.com/user/adidas",Adidas,Wrist,84,AdidasSmartRun.png,"Heart Rate Monitor,LCD Display,GPS,Accelerometer,Clock,Touch Interface",Fitness,,,$399.00 USD,11/1/13
6,Agent Smartwatch,"          The Agent Smartwatch is a wearable watch that is compatible with smart phones and can run downloadable apps. The technology can also display incoming calls and texts. This hi-tech watch coordinates with other technological devices that works with the same apps. Another unique feature of the watch is its compatibility with Qi wireless charging. Furthermore, Agent Smartwatch has an advance power management system, which provides it with one week of battery life.","Fitness,Lifestyle",http://www.agentwatches.com,Agent,Wrist,85,Agentwatch.png,"Accelerometer,Vibrator,E-Paper Display,Clock,Button Interface","Fitness,Lifestyle",,,$199.00 USD,Available Now
7,Air Scouter,"          The Air Scouter is a wearable heads up display. It projects images in front of the user's eye on the lens of the glasses. This computing device is built for industrial purposes, specifically for device assembly and remote operation support. The technology's assembly support allows the user to access the information necessary to assemble complex devices. The remote operation support allows the user to receive audio and video instruction from off-site specialists.",Industrial,http://www.brother.com/en/news/2011/airscouter/,Brother Industries Ltd.,Head,2,brother-airscouter.png,"Undisclosed,Audio Speaker,LED Display",Lifestyle,Industrial,,"$1,966.00 USD",Available Now
8,Airo,"AIRO is a wearable device that measures the user's nutrition intake, stress level, sleep patterns and fitness data. This device is worn on the wrist and has a spectrometer that uses reflectance to detect nutrients released into the bloodstream. It also has a heart rate monitor to calculate fluctuations in stress levels as well as to keep track of sleeping patterns. This device is currently undergoing prototype, testing, and validation phases. Its original crowdfunding project was halted due to skepticism on the device's capabilities. The device creators, Blacktree Fitness, is hoping that the continuous measurement and spectral analysis will create a large enough signal to noise ratio that some of their claims will be possible.",Lifestyle,"http://www.getairo.com/,https://twitter.com/AiroHealth",Blacktree Fitness Technologies,Wrist,86,AIRO.png,"Undisclosed, Spectrometer, Heart Rate Monitor",Lifestyle,,,No Announcement Yet,Undisclosed
9,Amiigo Fitness Band,"          The Amiigo Fitness Band is a wearable two-piece smart system made of a bracelet and a shoe clip. This wearable device works as fitness and sleep monitor, by evaluating body temperature, heart-rate and recording physical activity (type of activity and calories burnt). The technology uses a smartphone application available in the Apple App Store and Google Play to compute the data and track performance.","Fitness,Medical","http://www.amiigo.co/,http://www.facebook.com/GoAmiigo/,http://twitter.com/GoAmiigo,https://plus.google.com/109595758692637008970/posts,http://www.youtube.com/user/AmiigoInc",Amiigo,"Feet,Wrist",112,AmiigoFitnessBand.png,"Accelerometer,Oximeter,Thermometer,Heart Rate Monitor","Fitness,Medical",,,No Announcement Yet,Sold Out
10,Aquapulse Heart Rate Monitor,          AquaPulse is a heart rate monitor designed by Finis for swimmers to keep track of their heart rate while swimming. This wearable device can be attached to the inside of the goggles strap near the earlobe. It uses infrared sensors to monitor and calculate the heart rate. The information is transmitted using bone conduction technology directly to the user's inner ear. The announcement of the heart rate can be set by the user on their preference of intervals. This hi-tech computing device is waterproof and has rechargeable battery with a USB port charging.,"Fitness,Medical",http://www.finisinc.com/aquapulse-heart-rate-monitor.html,Finis,Ear,184,Aquapulse.png,"Infrared Sensor,Bone Conduction Speaker","Fitness,Medical",,,$129.99 USD,Available Now
